theory,2020,"Theor. Comput. Sci.","Synthesis of a DNF formula from a sample of strings using Ehrenfeucht-Fraïssé games.",db/journals/tcs/tcs805.html#RochaMF20
theory,2020,"Theor. Comput. Sci.","On the use of fitness landscape features in meta-learning based algorithm selection for the quadratic assignment problem.",db/journals/tcs/tcs805.html#DantasP20
theory,2020,"Theor. Comput. Sci.","The graph tessellation cover number: Chromatic bounds, efficient algorithms and hardness.",db/journals/tcs/tcs801.html#AbreuCFKMPP20
theory,2020,"Theor. Comput. Sci.","Reasoning in BDI agents using Toulmin's argumentation model.",db/journals/tcs/tcs805.html#GabrielPBAB20
theory,2020,"Theor. Comput. Sci.","Algebraic graph rewriting with controlled embedding.",db/journals/tcs/tcs802.html#CorradiniDEPR20
theory,2020,"Theor. Comput. Sci.","On the Carathéodory and exchange numbers of geodetic convexity in graphs.",db/journals/tcs/tcs804.html#AnandCCDNN20
theory,2020,"Theor. Comput. Sci.","An evolutionary algorithm for automated machine learning focusing on classifier ensembles: An improved algorithm and extended results.",db/journals/tcs/tcs805.html#JuniorFLNB20
se,2020,"J. Syst. Softw.","-inference: A heuristic approach to retrieve models through black box testing.",db/journals/jss/jss159.html#GrozBSO20
se,2020,"J. Syst. Softw.","HSP: A hybrid selection and prioritisation of regression test cases based on information retrieval and code coverage applied on an industrial case study.",db/journals/jss/jss159.html#MagalhaesAPMBM20
se,2020,"Sci. Comput. Program.","Automation and consistency analysis of test cases written in natural language: An industrial context.",db/journals/scp/scp189.html#ArrudaBS20
se,2020,"Sci. Comput. Program.","Mutating code annotations: An empirical evaluation on Java and C# programs.",db/journals/scp/scp191.html#PinheiroVRFFGF20
se,2018,"J. Syst. Softw.","Sustainability and longevity of systems and architectures.",db/journals/jss/jss140.html#NakagawaCWK18
pl,2020,"Sci. Comput. Program.","Automatic syntax error reporting and recovery in parsing expression grammars.",db/journals/scp/scp187.html#MedeirosJM20
pl,2020,"Sci. Comput. Program.","Guided just-in-time specialization.",db/journals/scp/scp185.html#LimaSLRP20
se,2020,"Sci. Comput. Program.","A component-based framework for certification of components in a cloud of HPC services.",db/journals/scp/scp191.html#DantasJB20
se,2019,"J. Syst. Softw.","Characterization of implied scenarios as families of common behavior.",db/journals/jss/jss158.html#MeloCR19
se,2020,"J. Syst. Softw.","Google summer of code: Student motivations and contributions.",db/journals/jss/jss162.html#SilvaWGTGS20
se,2020,"J. Syst. Softw.","Effects of contextual information on maintenance effort: A controlled experiment.",db/journals/jss/jss159.html#DAvilaFB20
se,2020,"Sci. Comput. Program.","Prioritizing versions for performance regression testing: The Pharo case.",db/journals/scp/scp191.html#AlcocerBV20
pl,2020,"Sci. Comput. Program.","Pallene: A companion language for Lua.",db/journals/scp/scp189.html#GualandiI20
ds,2020,"J. Syst. Softw.","LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications.",db/journals/jss/jss161.html#TeixeiraAFRPCBM20
se,2020,"Sci. Comput. Program.","On the verification of mission-related properties in software-intensive systems-of-systems architectural design.",db/journals/scp/scp192.html#SilvaBO20
